id;control;cultivar;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1;TINTAS;TINTAS;10.448.228;11.012.833;10.798.824;8.213.674;17.457.849;22.593.885;20.265.190;24.830.345;21.984.546;25.805.939;17.369.967;27.976.307;31.912.172;22.168.465;22.290.855;30.195.343;18.736.158;17.213.860;25.753.888;24.032.041;24.795.507;18.045.593;22.146.466;21.189.308;24.444.665;19.451.024;19.313.252;19.980.696;13.590.968;18.051.102;23.975.805;17.853.113;19.059.959;22.281.079;35.135.485;41.398.115;34.162.995;43.653.087;48.852.574;39.148.123;23.633.831;44.473.588;39.303.313;36.855.419;29.810.706;29.935.627;13.370.866;32.850.915;26.868.514;nd;28.003.505;93.296.587;*;35.881.118
2;ti_Alicante Bouschet;Alicante Bouschet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.226;6.807;6.677;16.210;8.203;46.923;46.983;0;0;54.266;6.525;66.194;65.322;67.471;64.396;102.174;160.318;160.966;216.461;320.853;626.500;1.076.865;1.078.887;1.775.837;1.588.326;1.652.912;849.263;2.130.579;2.098.824;1.524.728;1.456.305;1.519.576;908.841;2.040.198;2.103.844;nd;2.272.985;811.140;*;4.108.858
3;ti_Ancelota;Ancelota;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.088;47.013;64.318;218.623;604.797;861.431;872.741;1.532.209;1.709.883;1.370.728;853.718;1.346.552;1.274.677;1.137.943;937.844;773.526;179.028;733.907;492.106;nd;481.402;6.513.974;*;783.688
4;ti_Aramon;Aramon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;nd;0;0;*;0
5;ti_Alfrocheiro;Alfrocheiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.986;19.473;43.396;20.509;25.310;31.168;0;4.320;0;0;0;0;0;0;0;nd;0;0;*;0
6;ti_Arinarnoa;Arinarnoa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.394;11.480;24.878;12.686;39.607;35.790;49.376;81.026;65.001;56.666;61.817;17.691;69.757;44.775;nd;90.860;2.785.609;*;147.979
7;ti_Aspirant Bouschet;Aspirant Bouschet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.258;7.448;3.650;7.091;8.859;12.901;18.086;12.830;nd;34.513;15.691.137;*;138.338
8;ti_Barbera;Barbera;4.548.313;3.971.627;4.035.482;3.152.247;8.334.170;9.017.873;7.406.493;9.426.011;7.621.931;8.756.427;6.230.235;9.078.325;11.552.200;7.521.496;5.947.760;7.290.172;3.553.090;2.845.387;4.447.914;3.414.379;2.587.150;1.449.146;1.703.396;999.104;978.852;559.435;594.591;342.488;183.269;149.019;397.479;142.690;107.641;87.309;104.139;92.672;57.116;68.946;92.279;70.932;26.044;76.397;47.549;40.630;19.514;19.980;14.738;24.218;21.863;nd;12.349;437.640;*;35.292
9;ti_Bonarda;Bonarda;1.631.610;1.868.929;1.875.069;885.582;1.888.558;2.564.146;2.280.229;2.963.398;2.237.040;2.396.836;1.120.992;2.516.029;2.210.953;1.502.343;1.164.038;1.754.291;877.037;658.716;639.841;657.726;586.098;236.195;400.909;237.867;282.711;139.404;146.851;51.131;33.225;88.710;67.152;47.406;22.983;18.445;24.322;21.021;3.843;6.207;7.640;2.320;0;250;1.114;0;0;0;0;0;0;nd;0;3.110;*;7.800
10;ti_Cabernet Franc;Cabernet Franc;238.837;324.924;572.871;1.360.672;2.909.343;4.262.538;4.813.859;6.615.376;5.575.835;6.800.089;5.152.023;8.414.657;8.730.177;7.437.092;7.286.708;10.342.293;6.403.968;6.616.589;9.129.403;7.962.486;7.568.645;4.935.095;5.462.304;4.447.660;4.788.430;4.284.749;4.341.461;3.420.121;2.588.929;2.910.807;4.419.829;2.989.553;2.856.507;3.022.334;3.855.570;3.869.854;3.285.083;4.081.725;4.008.067;3.365.865;2.125.997;2.741.150;2.594.675;2.452.229;1.894.496;1.981.004;820.996;2.116.893;1.524.191;nd;1.506.219;16.626.545;*;2.152.213
